site,subjectID,breed_abbr,age,sex,ostensive,nonostensive,diff_score
DPID,uwarsaw_md1_48,AIRT,8.1,Female,0.5,0.5,0
CCSL,urijeka_md1_19,AMST,3.1,Female,0.5,0.375,0.125
ACCC,accc_md1_13,AUCD,3.5,Male,0.5,0.25,0.25
DPID,uwarsaw_md1_24,AUCD,8.2,Female,0.5,0.5,0
DPID,uwarsaw_md1_25,AUCD,5.5,Male,0.5,0.625,-0.125
ACCC,accc_md1_15,AUSS,5.3,Male,0.875,0.875,0
ACCC,accc_md1_25,AUSS,10.9,Female,0.75,0.625,0.125
CCHIL,cchil_md1_603,AUSS,3.2,Male,0.75,0.75,0
CCHIL,cchil_md1_801,AUSS,1.3,Male,0.5,0.625,-0.125
CRU,crumun_md1_12,AUSS,1.6,Male,0.375,0.5,-0.125
CRU,crumun_md1_37,AUSS,2.7,Male,0.875,0.5,0.375
DCCC,duke_md1_26,AUSS,7,Male,0.75,0.625,0.125
TFDP,eltebuda_md1_20,AUSS,6.3,Female,0.75,0.625,0.125
TFDP,eltebuda_md1_21,AUSS,3.7,Male,0.75,0.5,0.25
CCL,manitoba_md1_13,AUSS,2.6,Female,0.5,0.5,0
SCL,queensu_md1_01,AUSS,1.6,Male,0.625,0.5,0.125
SCL,queensu_md1_35,AUSS,4,Male,0.375,0.5,-0.125
SCL,queensu_md1_36,AUSS,6.9,Male,0.5,0.5,0
DPID,uwarsaw_md1_07,AUSS,5.7,Female,0.5,0.5,0
CCC,yale_md1_05,AUSS,2.3,Female,0.75,0.75,0
CRU,crumun_md1_123,BEAG,2.2,Female,0.625,0.625,0
DCCC,duke_md1_23,BEAG,7.2,Male,0.5,0.5,0
CBRG,icoc_md1_04,BEAG,1,Female,0.375,0.625,-0.25
CCL,manitoba_md1_19,BEAG,4.4,Female,0.25,0.875,-0.625
CC,umessina_md1_23,BEAG,8,Male,0.5,0.375,0.125
ACPS,auburn_md1_29,BMAL,2.1,Male,0.5,0.125,0.375
SCL,queensu_md1_02,BMAL,5.8,Male,0.625,0.5,0.125
SCL,queensu_md1_10,BMAL,0.3,Male,0.5,0.5,0
SCL,queensu_md1_13,BMAL,0.5,Female,0.5,0.375,0.125
SCL,queensu_md1_15,BMAL,0.5,Male,0.5,0.625,-0.125
SCL,queensu_md1_17,BMAL,5.8,Female,0.5,0.5,0
SCL,queensu_md1_20,BMAL,0.5,Female,0.375,0.5,-0.125
SCL,queensu_md1_33,BMAL,2.1,Female,0.5,0.5,0
CCHIL,cchil_md1_711,BMD,5.9,Male,0.625,0.625,0
CBRG,icoc_md1_34,BMD,6,Female,0.625,0.5,0.125
CRU,crumun_md1_72,BORD,3.7,Female,0.5,0.25,0.25
TFDP,eltebuda_md1_02,BORD,1.9,Male,0.75,0.875,-0.125
TFDP,eltebuda_md1_05,BORD,1.7,Female,0.625,0.5,0.125
TFDP,eltebuda_md1_11,BORD,4.5,Male,0.625,0.5,0.125
TFDP,eltebuda_md1_12,BORD,3,Female,0.5,0.5,0
TFDP,eltebuda_md1_13,BORD,0.7,Female,0.5,0.5,0
TFDP,eltebuda_md1_22,BORD,7.5,Male,0.5,0.5,0
TFDP,eltebuda_md1_26,BORD,2.2,Female,0.5,0.5,0
CBRG,icoc_md1_17,BORD,1.8,Female,0.375,0.25,0.125
CBRG,icoc_md1_20,BORD,1.6,Female,0.25,0.25,0
CBRG,icoc_md1_30,BORD,7.9,Female,0.375,0.5,-0.125
CCL,manitoba_md1_15,BORD,0.7,Female,0.5,0.5,0
CCL,manitoba_md1_29,BORD,2.8,Female,0.5,0.5,0
AHWRC,ucs_md1_26,BORD,0.9,Female,0.5,0.5,0
CC,umessina_md1_06,BORD,1.7,Female,0.5,0.5,0
CC,umessina_md1_10,BORD,5.1,Male,0.5,0.5,0
CCSL,urijeka_md1_05,BORD,9,Female,0.5,0.5,0
CCSL,urijeka_md1_26,BORD,6.2,Female,0.375,0.5,-0.125
DPID,uwarsaw_md1_27,BORD,5.1,Female,0.75,0.625,0.125
DPID,uwarsaw_md1_51,BORD,12,Female,0.5,0.625,-0.125
DPID,uwarsaw_md1_52,BORD,4,Female,0.5,0.375,0.125
BDL,bdl_md1_37,BOST,4.9,Male,0.5,0.5,0
CCHIL,cchil_md1_840,BOST,2.6,Female,0.25,0.625,-0.375
TDC,tdc_md1_42,BOST,2.4,Female,0.5,0.5,0
TDC,tdc_md1_46,BOST,2.6,Female,0.5,0.375,0.125
CCSL,urijeka_md1_17,BOST,5,Female,0.5,0.5,0
DPID,uwarsaw_md1_13,BOX,5.3,Male,0.625,0.375,0.25
TDC,tdc_md1_01,BULD,5.4,Female,0.375,0.375,0
BDL,bdl_md1_12,CHIH,NA,Male,0.5,0.375,0.125
DCCC,duke_md1_20,CHIN,8.6,Female,0.5,0.5,0
CC,umessina_md1_15,CHIN,5.5,Male,0.625,0.5,0.125
ACCC,accc_md1_21,CKCS,1.3,Male,0.5,0.5,0
BDL,bdl_md1_29,COLL,1.2,Male,0.5,0.625,-0.125
CBRG,icoc_md1_07,COLL,8.9,Female,1,0.875,0.125
CCL,manitoba_md1_23,COLL,4.6,Female,0.5,0.625,-0.125
CCL,manitoba_md1_24,COLL,1.6,Male,0.375,0.5,-0.125
TDC,tdc_md1_29,DACH,3.8,Female,0.375,0.625,-0.25
AHWRC,ucs_md1_35,DACH,5.8,Female,0.5,1,-0.5
ACCC,accc_md1_18,DOBP,1.4,Female,0.5,0.375,0.125
SCL,queensu_md1_22,DOBP,1.8,Female,0.375,0.625,-0.25
CC,umessina_md1_21,DOBP,NA,Female,0.625,0.375,0.25
CRU,crumun_md1_91,ECKR,7.4,Male,0.75,0.5,0.25
DCC,dcc_md1_28,ECKR,6.2,Male,1,0.875,0.125
DCC,dcc_md1_32,ECKR,2.4,Male,0.5,0.625,-0.125
DCC,dcc_md1_47,ECKR,2.7,Male,0.25,0.375,-0.125
DCC,dcc_md1_04,ESSP,11.5,Male,0.5,0.625,-0.125
SCL,queensu_md1_25,ESSP,7.4,Male,0.5,0.5,0
DPID,uwarsaw_md1_20,ESSP,8.1,Female,0.625,0.5,0.125
CBRG,icoc_md1_03,FBUL,1.8,Male,0.5,0.5,0
TDC,tdc_md1_45,FBUL,1.3,Male,0.625,0.5,0.125
CC,umessina_md1_03,FBUL,1.1,Female,0.5,0.75,-0.25
DCC,dcc_md1_12,FCR,3.8,Male,0.5,0.5,0
ACPS,auburn_md1_19,GOLD,1.1,Male,0.5,0.5,0
BCCC,bccc_md1_05,GOLD,6.7,Female,0.625,0.375,0.25
BCCC,bccc_md1_10,GOLD,10.5,Female,0.5,0.5,0
BCCC,bccc_md1_16,GOLD,0.9,Male,0.625,0.5,0.125
CRU,crumun_md1_22,GOLD,2.9,Male,0.625,0.625,0
DCC,dcc_md1_03,GOLD,1.6,Female,0.5,0.5,0
DCC,dcc_md1_08,GOLD,3.6,Male,0.25,0.625,-0.375
DCC,dcc_md1_39,GOLD,4.6,Male,0.75,0.5,0.25
TFDP,eltebuda_md1_18,GOLD,1.2,Male,0.375,0.75,-0.375
CBRG,icoc_md1_37,GOLD,7.5,Female,0.25,0.5,-0.25
LDB,ldbtdc_md1_20661,GOLD,1.3,Female,0.375,0.625,-0.25
LDB,ldbtdc_md1_20662,GOLD,1.3,Female,0.75,0.5,0.25
LDB,ldbtdc_md1_20667,GOLD,1.3,Male,0.5,0.75,-0.25
LDB,ldbtdc_md1_20668,GOLD,1.3,Male,0.375,0.625,-0.25
LDB,ldbtdc_md1_20670,GOLD,1.3,Female,0.625,0.625,0
LDB,ldbtdc_md1_20671,GOLD,1.3,Female,0.75,0.375,0.375
LDB,ldbtdc_md1_20672,GOLD,1.3,Male,0.25,0.5,-0.25
LDB,ldbtdc_md1_20673,GOLD,1.3,Male,0.25,0.5,-0.25
LDB,ldbtdc_md1_20674,GOLD,1.3,Male,0.5,0.75,-0.25
SCL,queensu_md1_16,GOLD,0.9,Male,0.625,0.625,0
AHWRC,ucs_md1_22,GOLD,1.8,Male,0.5,0.375,0.125
CCSL,urijeka_md1_01,GOLD,4,Female,0.5,0.375,0.125
CCC,yale_md1_07,GOLD,3.3,Female,0.5,0.5,0
CCC,yale_md1_08,GOLD,2.9,Female,0.875,0.625,0.25
CCC,yale_md1_15,GOLD,3,Female,0.75,0.625,0.125
CCC,yale_md1_19,GOLD,1.5,Female,0.5,0.625,-0.125
CBRG,icoc_md1_12,GREY,9.3,Female,0.5,0.5,0
CBRG,icoc_md1_31,GREY,4.1,Female,0.5,0.375,0.125
AHWRC,ucs_md1_14,GREY,7.6,Male,0.75,0.5,0.25
ACPS,auburn_md1_01,GSD,3.7,Female,0.5,0.5,0
BDL,bdl_md1_19,GSD,NA,Female,0.625,0.25,0.375
SCL,queensu_md1_12,GSD,1.9,Female,0.625,0.5,0.125
SCL,queensu_md1_27,GSD,4.9,Male,0.5,0.25,0.25
CCC,yale_md1_10,GSD,6.3,Male,0.5,0.5,0
CCHIL,cchil_md1_606,GSHP,7.5,Male,0.5,0.5,0
CCHIL,cchil_md1_856,GSHP,4.8,Female,0.5,0.625,-0.125
TDC,tdc_md1_14,HAVA,6.6,Female,0.5,0.75,-0.25
CCHIL,cchil_md1_567,HUSK,7.8,Male,0.75,0.75,0
DCC,dcc_md1_15,HUSK,9.6,Female,0.375,0.875,-0.5
CC,umessina_md1_12,HUSK,3.5,Female,0.375,0.625,-0.25
CC,umessina_md1_26,HUSK,2.1,Male,0.125,0.5,-0.375
BCCC,bccc_md1_25,IRIT,6.1,Male,0.5,0.5,0
CCHIL,cchil_md1_899,ISET,6.1,Female,0.75,0.5,0.25
DCC,dcc_md1_23,IWSP,11.9,Female,0.5,0.75,-0.25
CCHIL,cchil_md1_006,JACK,6.3,Male,0.625,0.5,0.125
CCHIL,cchil_md1_659,JACK,1.8,Female,0.375,0.375,0
TFDP,eltebuda_md1_04,JACK,2.2,Male,0.75,0.5,0.25
CC,umessina_md1_07,JACK,2.4,Female,0.75,0.5,0.25
CCHIL,cchil_md1_221,KEES,7.1,Female,0.5,0.875,-0.375
DPID,uwarsaw_md1_09,KELP,1.2,Male,0.375,0.375,0
DPID,uwarsaw_md1_53,KELP,9,Male,0.625,0.625,0
DPID,uwarsaw_md1_54,KELP,4.6,Male,0.375,0.25,0.125
ACCC,accc_md1_22,LAB,1.7,Female,0.75,0.75,0
ACPS,auburn_md1_03,LAB,0.9,Female,0.375,0.5,-0.125
ACPS,auburn_md1_04,LAB,1.9,Female,0.375,0.375,0
ACPS,auburn_md1_05,LAB,5.5,Male,0.25,0.5,-0.25
ACPS,auburn_md1_06,LAB,1.2,Female,0.75,0.375,0.375
ACPS,auburn_md1_07,LAB,2.6,Male,0.375,0.5,-0.125
ACPS,auburn_md1_09,LAB,4.5,Female,0.5,0.5,0
ACPS,auburn_md1_12,LAB,5.3,Female,0.5,0.5,0
ACPS,auburn_md1_21,LAB,6.7,Male,0.5,0.375,0.125
ACPS,auburn_md1_30,LAB,8.9,Male,0.5,0.5,0
ACPS,auburn_md1_34,LAB,6.3,Female,0.5,0.5,0
ACPS,auburn_md1_35,LAB,2.2,Male,0.5,0.5,0
ACPS,auburn_md1_36,LAB,3.9,Male,0.5,0.5,0
ACPS,auburn_md1_37,LAB,3.9,Male,0.75,0.75,0
ACPS,auburn_md1_38,LAB,3.9,Female,0.625,0.625,0
BCCC,bccc_md1_07,LAB,6.6,Female,0.625,0.5,0.125
BCCC,bccc_md1_18,LAB,3.6,Female,0.25,0.125,0.125
CCHIL,cchil_md1_887,LAB,2.4,Male,0.75,0.375,0.375
CCI,cci_md1_11,LAB,1.7,Female,0.375,0.375,0
CCI,cci_md1_14,LAB,1.6,Female,0.5,0.25,0.25
CCI,cci_md1_20,LAB,1.5,Male,0.5,0.375,0.125
CCI,cci_md1_27,LAB,1.4,Male,0.5,0.375,0.125
CCI,cci_md1_28,LAB,1.4,Female,0.5,0.75,-0.25
CRU,crumun_md1_06,LAB,3.8,Male,0.5,0.5,0
CRU,crumun_md1_27,LAB,1.9,Female,0.5,0.5,0
DCC,dcc_md1_02,LAB,3.4,Female,0.5,0.75,-0.25
DCC,dcc_md1_10,LAB,3.4,Male,0.5,0.625,-0.125
DCC,dcc_md1_13,LAB,2.3,Male,0.875,0.875,0
DCC,dcc_md1_18,LAB,8.5,Male,0.75,0.375,0.375
DCC,dcc_md1_21,LAB,1.4,Female,0.5,0.5,0
DCC,dcc_md1_40,LAB,7,Female,0.75,0.625,0.125
DCC,dcc_md1_42,LAB,2.2,Female,0.375,0.625,-0.25
DCC,dcc_md1_43,LAB,9.2,Male,0.5,0.5,0
DCC,dcc_md1_45,LAB,4.5,Female,1,0.75,0.25
DCCC,duke_md1_10,LAB,2,Male,0.875,0.875,0
TFDP,eltebuda_md1_19,LAB,2.4,Male,0.5,0.75,-0.25
CBRG,icoc_md1_14,LAB,5,Female,0.375,0.25,0.125
CBRG,icoc_md1_25,LAB,7.7,Male,0.375,0.375,0
LDB,ldbtdc_md1_20709,LAB,1.2,Male,0.375,0.375,0
CCL,manitoba_md1_02,LAB,10,Male,0.5,0.5,0
CCL,manitoba_md1_03,LAB,4.7,Female,0.375,0.5,-0.125
CCL,manitoba_md1_17,LAB,2.3,Male,0.625,0.875,-0.25
SCL,queensu_md1_29,LAB,2.1,Male,0.875,0.875,0
TDC,tdc_md1_11,LAB,8.5,Female,0.625,0.5,0.125
AHWRC,ucs_md1_04,LAB,5.7,Male,0.375,0.5,-0.125
AHWRC,ucs_md1_07,LAB,1.7,Male,0.625,0.75,-0.125
AHWRC,ucs_md1_17,LAB,5.2,Female,0.75,0.625,0.125
CC,umessina_md1_05,LAB,8.3,Female,0.375,0.5,-0.125
DPID,uwarsaw_md1_16,LAB,3,Female,0.625,0.5,0.125
DPID,uwarsaw_md1_17,LAB,11.1,Female,0.625,0.5,0.125
CCC,yale_md1_02,LAB,1.8,Male,0.5,0.5,0
CCHIL,cchil_md1_696,MALT,7.8,Female,0.625,0.625,0
CRU,crumun_md1_02,MALT,12.9,Male,0.5,0.5,0
CBRG,icoc_md1_13,MALT,4.2,Female,0.75,0.375,0.375
TDC,tdc_md1_41,MALT,8.6,Female,0.5,0.625,-0.125
CCSL,urijeka_md1_09,MSNZ,3.2,Female,0.25,0.75,-0.5
CCSL,urijeka_md1_21,MSNZ,1.1,Male,0.625,0.75,-0.125
CCHIL,cchil_md1_549,NSDT,4.8,Male,0.5,0.25,0.25
CCC,yale_md1_16,NSDT,2.9,Female,0.375,0.5,-0.125
CCHIL,cchil_md1_566,PEMB,8.2,Male,0.5,0.5,0
DCCC,duke_md1_37,PEMB,3.1,Female,0.75,0.75,0
TDC,tdc_md1_04,PEMB,0.6,Female,0.625,0.25,0.375
TDC,tdc_md1_49,PEMB,2.9,Female,0.5,0.5,0
TDC,tdc_md1_50,PEMB,3.9,Male,0.625,0.5,0.125
TDC,tdc_md1_51,PEMB,1,Male,0.375,0.75,-0.375
CCC,yale_md1_17,PEMB,8.8,Male,0.375,0.5,-0.125
CCC,yale_md1_20,PEMB,4.1,Male,0.375,0.5,-0.125
CRU,crumun_md1_133,POOD,3.4,Female,0.625,0.5,0.125
CBRG,icoc_md1_39,POOD,1.4,Male,0.375,0.375,0
AHWRC,ucs_md1_30,POOD,1.5,Male,0.75,0.5,0.25
CCSL,urijeka_md1_03,POOD,10.1,Male,0.375,0.375,0
DPID,uwarsaw_md1_02,POOD,NA,Female,0.75,0.625,0.125
DPID,uwarsaw_md1_14,POOD,6.6,Female,0.5,0.625,-0.125
DPID,uwarsaw_md1_15,POOD,2.2,Female,0.5,0.5,0
ACCC,accc_md1_04,PTWD,5.7,Male,0.5,0.375,0.125
DCCC,duke_md1_14,PUG,12.5,Female,0.5,0.5,0
CC,umessina_md1_16,PUG,8.6,Female,0.375,0.75,-0.375
DPID,uwarsaw_md1_08,PUG,7.4,Male,0.625,0.625,0
CRU,crumun_md1_01,ROTT,5,Female,0.5,0.125,0.375
SCL,queensu_md1_31,ROTT,1,Male,0.375,0.25,0.125
DPID,uwarsaw_md1_28,SHIB,4.1,Female,0.625,0.5,0.125
DPID,uwarsaw_md1_29,SHIB,4.1,Male,0.5,0.5,0
DPID,uwarsaw_md1_30,SHIB,7.4,Female,0.375,0.5,-0.125
DPID,uwarsaw_md1_37,SHIB,1.6,Male,0.625,0.5,0.125
BDL,bdl_md1_49,SPIN,1.4,Male,0.5,0.5,0
CCL,manitoba_md1_26,SSHP,4.5,Female,0.375,0.42857142857142855,-0.05357142857142855
CCL,manitoba_md1_27,SSHP,6,Male,0.25,0.5,-0.25
CCL,manitoba_md1_28,SSHP,12,Male,0.5,0.5,0
DCC,dcc_md1_06,STAF,14.1,Female,0.625,0.5,0.125
CCSL,urijeka_md1_13,STAF,4.3,Male,0.625,0.5,0.125
BDL,bdl_md1_54,TURV,7.8,Female,0.5,0.5,0
BDL,bdl_md1_68,TURV,7.9,Female,0.75,0.625,0.125
CCL,manitoba_md1_18,TURV,3.9,Female,0.5,0.5,0
ACCC,accc_md1_26,VIZS,7,Female,0.5,0.625,-0.125
ACCC,accc_md1_27,VIZS,7.8,Female,0.5,0.375,0.125
AHWRC,ucs_md1_18,VIZS,2.9,Male,0.75,0.375,0.375
CCC,yale_md1_18,WHIP,2.5,Male,0.625,0.625,0
BCCC,bccc_md1_15,WHWT,2.7,Male,0.875,0.25,0.625
BCCC,bccc_md1_35,WHWT,1.4,Male,0.375,0.5,-0.125
DCC,dcc_md1_34,WHWT,10.6,Female,1,0.5,0.5
CBRG,icoc_md1_10,YORK,1.8,Female,0.75,0.375,0.375
